type,id,lat,lon,brand,shop,city,street,housenumber,postcode
node,7395144126,46.8655382,8.6548456,Coop,supermarket,Schattdorf,Dorfstrasse,5,6467
node,7395144127,46.8556663,8.6448239,Coop,supermarket,Schattdorf,Militärstrasse,9a,6467
node,7395144130,47.2332432,9.0204399,Coop,supermarket,Gommiswald,Rickenstrasse,25,8737
node,7403555052,47.3857952,8.4924667,Denner,supermarket,Zürich,Badenerstrasse,621,8048
node,7418113614,47.4952268,8.758614099999999,Coop,supermarket,Winterthur,Rudolf-Diesel-Strasse,19,8404
node,7444398175,47.1072014,8.0843623,Landi,supermarket,Buttisholz,Guglern,34,6018
node,7457739462,47.5395222,7.6039942,Migros,supermarket,Basel,Münchensteinerstrasse,200,4053
node,7483327233,47.3180504,7.8017601,Migros,supermarket,Egerkingen,Hausimollstrasse,1,4622
node,7507371250,47.3847433,8.0895665,Migros,supermarket,Buchs AG,Bresteneggstrasse,9b,5033
node,7545142513,47.2696802,7.6924931,VOI Migros Partner,supermarket,Niederbipp,Wydenstrasse,9,4704
node,7545151159,47.3718349,7.9937767,VOI Migros Partner,supermarket,Niedergösgen,Aarestrasse,49,5013
node,7545166566,47.3987687,8.1768383,VOI Migros Partner,supermarket,Niederlenz,Lenzburgerstrasse,2,5702
node,7545229842,47.2132008,8.0946225,VOI,supermarket,Büron,Sagipark,7,6233
node,7545402814,47.3238339,8.548588,VOI Migros Partner,supermarket,Kilchberg,Bahnhofstrasse,3,8802
node,7545529110,46.8509431,7.5752386,VOI Migros Partner,supermarket,Wichtrach,Dorfplatz,1,3114
node,7545541685,46.7736603,7.6161478,VOI Migros Partner,supermarket,Steffisburg,Bahnhofstrasse,87,3613
node,7574554244,47.1331279,8.3193581,Coop,supermarket,Eschenbach LU,Oberhof,1,6274
node,7589274159,47.5277504,7.6902508,Coop,supermarket,Pratteln,Grüssenweg,10,4133
node,7591924440,47.4223194,8.4993196,Lidl,supermarket,Zürich,Wehntalerstrasse,625,8046
node,7643943886,47.5448737,9.2851944,Spar,supermarket,Amriswil,Weinfelderstrasse,74,8580
node,7671493765,47.229717,9.0232073,Denner,supermarket,Gommiswald,,15,8737
node,7683124251,47.462723,9.0428048,Migros,supermarket,Wil SG,Obere Bahnhofstrasse,5,9500
node,7684812078,47.4579651,8.7699768,Migros,supermarket,Kollbrunn,Tösstalstrasse,24,8483
node,7685095602,47.4958334,8.7497154,Migros-Outlet,supermarket,Winterthur,Industriestrasse,8,8404
node,7711197327,47.3882031,8.6805468,Migros,supermarket,Volketswil,Im Zentrum,18,8604
node,7711325934,47.1283889,9.0556246,Migros,supermarket,Niederurnen,Ziegelbrückstrasse,21,8867
node,7714058359,46.9341831,8.276197,Migros,supermarket,Alpnach Dorf,Untere Gründlistrasse,21,6055
